Model,Precision,Recall,F1 Score,ROC AUC,Alerts,True Positives,False Positives,False Negatives,True Negatives
Isolation Forest,0.1282051282051282,0.14705882352941177,0.136986301369863,0.8506957130678359,78,10,68,58,1864
Autoencoder,0.09448818897637795,0.17647058823529413,0.12307692307692308,0.6167108147606869,127,12,115,56,1817
